#Julian Date	Day	Month	Year	Hour	Minute	Second	East	North	Altitude
#[j]	[j]	[mois]	[année]	[h]	[min]	[s]	[m]	[m]	[m]
2459291.956071591	18	3	2021	10	56	44.585	2501024.238	1117429.785	384.424
2459291.956072123	18	3	2021	10	56	44.631	2501024.368	1117429.744	384.422
2459291.956072667	18	3	2021	10	56	44.678	2501024.499	1117429.700	384.425
2459291.956073720	18	3	2021	10	56	44.769	2501024.627	1117429.660	384.424
2459291.956074449	18	3	2021	10	56	44.832	2501024.742	1117429.614	384.425
2459291.956075167	18	3	2021	10	56	44.894	2501024.868	1117429.583	384.432
2459291.956075988	18	3	2021	10	56	44.965	2501024.975	1117429.547	384.428
2459291.956076393	18	3	2021	10	56	45.000	2501025.086	1117429.510	384.425
2459291.956077307	18	3	2021	10	56	45.079	2501025.189	1117429.476	384.427
2459291.956078037	18	3	2021	10	56	45.142	2501025.285	1117429.447	384.428
2459291.956078708	18	3	2021	10	56	45.200	2501025.380	1117429.415	384.430
2459291.956079518	18	3	2021	10	56	45.270	2501025.469	1117429.385	384.430
2459291.956080248	18	3	2021	10	56	45.333	2501025.559	1117429.356	384.430
2459291.956080849	18	3	2021	10	56	45.385	2501025.647	1117429.329	384.430
2459291.956081752	18	3	2021	10	56	45.463	2501025.724	1117429.302	384.432
2459291.956082296	18	3	2021	10	56	45.510	2501025.799	1117429.278	384.428
2459291.956082979	18	3	2021	10	56	45.569	2501025.870	1117429.257	384.427
2459291.956083523	18	3	2021	10	56	45.616	2501025.940	1117429.236	384.427
2459291.956084426	18	3	2021	10	56	45.694	2501026.001	1117429.214	384.427
2459291.956085294	18	3	2021	10	56	45.769	2501026.057	1117429.191	384.430
2459291.956086196	18	3	2021	10	56	45.847	2501026.112	1117429.177	384.432
2459291.956086914	18	3	2021	10	56	45.909	2501026.164	1117429.160	384.430
2459291.956087643	18	3	2021	10	56	45.972	2501026.210	1117429.144	384.432
2459291.956088152	18	3	2021	10	56	46.016	2501026.249	1117429.133	384.428
2459291.956088870	18	3	2021	10	56	46.078	2501026.286	1117429.119	384.429
2459291.956089414	18	3	2021	10	56	46.125	2501026.317	1117429.108	384.430
2459291.956090282	18	3	2021	10	56	46.200	2501026.346	1117429.100	384.431
2459291.956091011	18	3	2021	10	56	46.263	2501026.370	1117429.093	384.429
2459291.956091694	18	3	2021	10	56	46.322	2501026.404	1117429.081	384.432
2459291.956093153	18	3	2021	10	56	46.448	2501026.416	1117429.079	384.429
2459291.956093882	18	3	2021	10	56	46.511	2501026.424	1117429.073	384.428
2459291.956094542	18	3	2021	10	56	46.568	2501026.432	1117429.073	384.432
2459291.956095271	18	3	2021	10	56	46.631	2501026.437	1117429.073	384.432
2459291.956095988	18	3	2021	10	56	46.693	2501026.439	1117429.066	384.432
2459291.956096868	18	3	2021	10	56	46.769	2501026.442	1117429.068	384.431
2459291.956097585	18	3	2021	10	56	46.831	2501026.445	1117429.070	384.432
2459291.956099032	18	3	2021	10	56	46.956	2501026.443	1117429.069	384.428
2459291.956099726	18	3	2021	10	56	47.016	2501026.442	1117429.069	384.433
2459291.956100629	18	3	2021	10	56	47.094	2501026.440	1117429.070	384.435
2459291.956101173	18	3	2021	10	56	47.141	2501026.438	1117429.070	384.423
2459291.956101856	18	3	2021	10	56	47.200	2501026.436	1117429.070	384.429
2459291.956102585	18	3	2021	10	56	47.263	2501026.435	1117429.071	384.432
2459291.956103488	18	3	2021	10	56	47.341	2501026.434	1117429.072	384.431
2459291.956104171	18	3	2021	10	56	47.400	2501026.434	1117429.070	384.422
2459291.956104715	18	3	2021	10	56	47.447	2501026.435	1117429.072	384.432
2459291.956105444	18	3	2021	10	56	47.510	2501026.436	1117429.071	384.433
2459291.956106486	18	3	2021	10	56	47.600	2501026.436	1117429.069	384.430
2459291.956107667	18	3	2021	10	56	47.702	2501026.436	1117429.070	384.430
2459291.956108442	18	3	2021	10	56	47.769	2501026.435	1117429.070	384.426
2459291.956109344	18	3	2021	10	56	47.847	2501026.435	1117429.072	384.429
2459291.956109888	18	3	2021	10	56	47.894	2501026.435	1117429.072	384.427
2459291.956110606	18	3	2021	10	56	47.956	2501026.435	1117429.071	384.430
2459291.956111301	18	3	2021	10	56	48.016	2501026.436	1117429.071	384.430
2459291.956112018	18	3	2021	10	56	48.078	2501026.436	1117429.072	384.427
2459291.956112736	18	3	2021	10	56	48.140	2501026.436	1117429.072	384.433
2459291.956113430	18	3	2021	10	56	48.200	2501026.436	1117429.072	384.421
2459291.956115062	18	3	2021	10	56	48.341	2501026.435	1117429.071	384.434
2459291.956115745	18	3	2021	10	56	48.400	2501026.435	1117429.072	384.433
2459291.956116659	18	3	2021	10	56	48.479	2501026.435	1117429.069	384.419
2459291.956117377	18	3	2021	10	56	48.541	2501026.437	1117429.074	384.433
2459291.956117886	18	3	2021	10	56	48.585	2501026.436	1117429.072	384.435
2459291.956118604	18	3	2021	10	56	48.647	2501026.436	1117429.071	384.419
2459291.956119333	18	3	2021	10	56	48.710	2501026.435	1117429.071	384.433
2459291.956120375	18	3	2021	10	56	48.800	2501026.435	1117429.069	384.428
2459291.956121451	18	3	2021	10	56	48.893	2501026.436	1117429.072	384.431
2459291.956122146	18	3	2021	10	56	48.953	2501026.436	1117429.071	384.433
2459291.956123141	18	3	2021	10	56	49.039	2501026.435	1117429.070	384.428
2459291.956123685	18	3	2021	10	56	49.086	2501026.434	1117429.067	384.434
2459291.956124460	18	3	2021	10	56	49.153	2501026.435	1117429.070	384.432
2459291.956125363	18	3	2021	10	56	49.231	2501026.436	1117429.072	384.434
2459291.956125907	18	3	2021	10	56	49.278	2501026.434	1117429.067	384.431
2459291.956126810	18	3	2021	10	56	49.356	2501026.436	1117429.073	384.422
2459291.956127319	18	3	2021	10	56	49.400	2501026.435	1117429.071	384.438
2459291.956128222	18	3	2021	10	56	49.478	2501026.436	1117429.071	384.435
2459291.956128940	18	3	2021	10	56	49.540	2501026.435	1117429.067	384.417
2459291.956129448	18	3	2021	10	56	49.584	2501026.435	1117429.071	384.439
2459291.956130351	18	3	2021	10	56	49.662	2501026.435	1117429.069	384.438
2459291.956131081	18	3	2021	10	56	49.725	2501026.435	1117429.070	384.419
2459291.956131775	18	3	2021	10	56	49.785	2501026.435	1117429.070	384.433
2459291.956132493	18	3	2021	10	56	49.847	2501026.435	1117429.068	384.431
2459291.956133222	18	3	2021	10	56	49.910	2501026.434	1117429.065	384.429
2459291.956134090	18	3	2021	10	56	49.985	2501026.435	1117429.070	384.436
2459291.956134634	18	3	2021	10	56	50.032	2501026.436	1117429.071	384.430
2459291.956135537	18	3	2021	10	56	50.110	2501026.434	1117429.067	384.437
2459291.956136046	18	3	2021	10	56	50.154	2501026.434	1117429.067	384.434
2459291.956136948	18	3	2021	10	56	50.232	2501026.435	1117429.067	384.429
2459291.956137759	18	3	2021	10	56	50.302	2501026.435	1117429.068	384.434
2459291.956138303	18	3	2021	10	56	50.349	2501026.434	1117429.067	384.429
2459291.956138893	18	3	2021	10	56	50.400	2501026.434	1117429.067	384.433
2459291.956139622	18	3	2021	10	56	50.463	2501026.434	1117429.068	384.448
2459291.956140363	18	3	2021	10	56	50.527	2501026.435	1117429.070	384.428
2459291.956141208	18	3	2021	10	56	50.600	2501026.435	1117429.069	384.423
