#Julian Date	Day	Month	Year	Hour	Minute	Second	East	North	Altitude
#[j]	[j]	[mois]	[année]	[h]	[min]	[s]	[m]	[m]	[m]
2459292.158440715	18	3	2021	15	48	9.278	2501061.328	1117418.235	384.588
2459292.158441259	18	3	2021	15	48	9.325	2501061.661	1117418.144	384.585
2459292.158441802	18	3	2021	15	48	9.372	2501061.984	1117418.040	384.593
2459292.158442312	18	3	2021	15	48	9.416	2501062.309	1117417.950	384.593
2459292.158443030	18	3	2021	15	48	9.478	2501062.660	1117417.844	384.591
2459292.158443573	18	3	2021	15	48	9.525	2501063.000	1117417.744	384.596
2459292.158444083	18	3	2021	15	48	9.569	2501063.330	1117417.643	384.593
2459292.158444812	18	3	2021	15	48	9.632	2501063.670	1117417.543	384.595
2459292.158445344	18	3	2021	15	48	9.678	2501064.004	1117417.440	384.600
2459292.158446074	18	3	2021	15	48	9.741	2501064.342	1117417.340	384.595
2459292.158446582	18	3	2021	15	48	9.785	2501064.678	1117417.238	384.599
2459292.158447126	18	3	2021	15	48	9.832	2501065.016	1117417.133	384.598
2459292.158447844	18	3	2021	15	48	9.894	2501065.373	1117417.022	384.600
2459292.158448388	18	3	2021	15	48	9.941	2501065.715	1117416.921	384.604
2459292.158449071	18	3	2021	15	48	10.000	2501066.052	1117416.816	384.604
2459292.158449789	18	3	2021	15	48	10.062	2501066.399	1117416.716	384.610
2459292.158450332	18	3	2021	15	48	10.109	2501066.737	1117416.615	384.609
2459292.158450842	18	3	2021	15	48	10.153	2501067.432	1117416.402	384.616
2459292.158452103	18	3	2021	15	48	10.262	2501067.769	1117416.299	384.616
2459292.158452833	18	3	2021	15	48	10.325	2501068.142	1117416.187	384.615
2459292.158453342	18	3	2021	15	48	10.369	2501068.489	1117416.082	384.617
2459292.158453886	18	3	2021	15	48	10.416	2501068.832	1117415.981	384.619
2459292.158454441	18	3	2021	15	48	10.464	2501069.175	1117415.877	384.624
2459292.158455170	18	3	2021	15	48	10.527	2501069.531	1117415.772	384.627
2459292.158455831	18	3	2021	15	48	10.584	2501069.886	1117415.668	384.630
2459292.158456374	18	3	2021	15	48	10.631	2501070.250	1117415.553	384.634
2459292.158457104	18	3	2021	15	48	10.694	2501070.596	1117415.452	384.635
2459292.158457648	18	3	2021	15	48	10.741	2501070.941	1117415.350	384.637
2459292.158458157	18	3	2021	15	48	10.785	2501071.312	1117415.240	384.643
2459292.158458874	18	3	2021	15	48	10.847	2501071.662	1117415.133	384.645
2459292.158459603	18	3	2021	15	48	10.910	2501072.387	1117414.915	384.654
2459292.158460645	18	3	2021	15	48	11.000	2501072.744	1117414.811	384.655
2459292.158461189	18	3	2021	15	48	11.047	2501073.108	1117414.696	384.660
2459292.158461733	18	3	2021	15	48	11.094	2501073.466	1117414.591	384.666
2459292.158462590	18	3	2021	15	48	11.168	2501073.825	1117414.483	384.665
2459292.158463319	18	3	2021	15	48	11.231	2501074.177	1117414.375	384.671
2459292.158464036	18	3	2021	15	48	11.293	2501074.897	1117414.165	384.677
2459292.158464916	18	3	2021	15	48	11.369	2501075.257	1117414.058	384.684
2459292.158465634	18	3	2021	15	48	11.431	2501075.610	1117413.958	384.683
2459292.158466178	18	3	2021	15	48	11.478	2501075.956	1117413.856	384.688
2459292.158466860	18	3	2021	15	48	11.537	2501076.664	1117413.654	384.689
2459292.158467948	18	3	2021	15	48	11.631	2501077.355	1117413.453	384.699
2459292.158469001	18	3	2021	15	48	11.722	2501078.092	1117413.237	384.708
2459292.158470101	18	3	2021	15	48	11.817	2501078.415	1117413.143	384.709
2459292.158470645	18	3	2021	15	48	11.864	2501078.768	1117413.041	384.709
2459292.158471374	18	3	2021	15	48	11.927	2501079.502	1117412.826	384.717
2459292.158472578	18	3	2021	15	48	12.031	2501080.195	1117412.611	384.731
2459292.158473666	18	3	2021	15	48	12.125	2501080.550	1117412.509	384.731
2459292.158474210	18	3	2021	15	48	12.172	2501080.884	1117412.410	384.732
2459292.158474534	18	3	2021	15	48	12.200	2501081.272	1117412.295	384.737
